iter	Passed	Remaining
0	62	622583
1	112	560853
2	165	550853
3	220	550378
4	272	545175
5	324	540191
6	379	541179
7	426	533115
8	476	529050
9	538	538314
10	592	538364
11	644	536463
12	692	532029
13	738	526646
14	787	524264
15	838	523334
16	887	521397
17	937	519933
18	988	519427
19	1043	520847
20	1096	521082
21	1147	520427
22	1197	519605
23	1251	520278
24	1299	518622
25	1351	518509
26	1403	518281
27	1456	518601
28	1509	519003
29	1564	519794
30	1610	518021
31	1659	516888
32	1705	515026
33	1755	514534
34	1805	513967
35	1855	513429
36	1905	512971
37	1953	512158
38	2001	511216
39	2047	509836
40	2097	509371
41	2148	509435
42	2197	508954
43	2244	507949
44	2294	507619
45	2344	507224
46	2390	506181
47	2437	505443
48	2482	504137
49	2530	503637
50	2576	502640
51	2621	501526
52	2665	500321
53	2715	500069
54	2765	500096
55	2811	499220
56	2857	498397
57	2905	497972
58	2961	498933
59	3016	499723
60	3067	499769
61	3110	498533
62	3158	498177
63	3210	498445
64	3255	497568
65	3300	496812
66	3352	497031
67	3397	496285
68	3444	495754
69	3488	494864
70	3535	494385
71	3582	494029
72	3629	493549
73	3677	493300
74	3720	492406
75	3764	491598
76	3808	490848
77	3856	490595
78	3903	490194
79	3954	490318
80	4000	489857
81	4053	490221
82	4102	490212
83	4155	490566
84	4203	490308
85	4247	489635
86	4291	489006
87	4332	488023
88	4378	487611
89	4423	487078
90	4468	486523
91	4517	486520
92	4562	486019
93	4608	485709
94	4658	485745
95	4706	485550
96	4752	485239
97	4798	484803
98	4843	484409
99	4889	484058
100	4934	483654
101	4981	483395
102	5028	483137
103	5074	482823
104	5123	482829
105	5175	483052
106	5223	482973
107	5268	482540
108	5314	482225
109	5360	481915
110	5413	482260
111	5466	482618
112	5525	483426
113	5573	483346
114	5623	483344
115	5667	482952
116	5719	483126
117	5768	483086
118	5817	483031
119	5865	482895
120	5915	482953
121	5960	482594
122	6006	482335
123	6056	482340
124	6108	482569
125	6162	482895
126	6208	482634
127	6253	482270
128	6299	482063
129	6346	481822
130	6391	481513
131	6439	481424
132	6495	481911
133	6550	482312
134	6601	482388
135	6647	482122
136	6695	482011
137	6746	482128
138	6794	481988
139	6846	482182
140	6892	481908
141	6937	481638
142	6985	481544
143	7031	481235
144	7080	481233
145	7132	481388
146	7180	481307
147	7228	481187
148	7274	480945
149	7318	480560
150	7368	480589
151	7422	480919
152	7467	480621
153	7517	480638
154	7566	480586
155	7616	480610
156	7662	480405
157	7709	480203
158	7761	480407
159	7811	480428
160	7865	480680
161	7914	480662
162	7966	480793
163	8014	480655
164	8060	480482
165	8110	480488
166	8160	480490
167	8209	480454
168	8262	480660
169	8306	480331
170	8352	480117
171	8405	480261
172	8457	480424
173	8500	480022
174	8547	479861
175	8593	479673
176	8642	479613
177	8690	479513
178	8740	479538
179	8790	479584
180	8847	479949
181	8891	479679
182	8939	479568
183	8986	479387
184	9040	479654
185	9089	479589
186	9137	479501
187	9179	479067
188	9222	478765
189	9267	478510
190	9316	478459
191	9375	478907
192	9429	479147
193	9480	479225
194	9526	479028
195	9573	478892
196	9622	478853
197	9669	478697
198	9714	478463
199	9763	478414
200	9812	478351
201	9858	478195
202	9903	477940
203	9953	477976
204	9998	477756
205	10049	477773
206	10102	477955
207	10147	477728
208	10193	477532
209	10247	477709
210	10303	478035
