iter	RMSE
0	0.7124558378
50	0.1790210405
100	0.0796487849
150	0.05715277244
200	0.05170446821
250	0.04984010448
300	0.04853406953
350	0.04787555405
400	0.0477045348
450	0.04714634868
500	0.04692245841
550	0.04667407825
600	0.04647462481
650	0.04604380397
700	0.04581688421
750	0.04535152559
800	0.04522081748
850	0.04508504817
900	0.04495605974
950	0.04467751695
1000	0.04455269255
1050	0.04424987705
1100	0.04404069525
1150	0.04383570231
1200	0.04367924606
1250	0.04355243264
1300	0.04328582919
1350	0.04322847786
1400	0.04282180613
1450	0.04242828199
1500	0.04224654985
1550	0.04196486419
1600	0.04170781925
1650	0.04157382467
1700	0.04138947179
1750	0.04121163857
1800	0.04087195529
1850	0.04056973853
1900	0.04039693521
1950	0.04026509315
2000	0.04006099329
2050	0.0397728021
2100	0.03951977328
2150	0.03945220048
2200	0.03922427378
2250	0.0392051042
2300	0.03909595424
2350	0.03895885503
2400	0.0389126207
2450	0.03889548271
2500	0.03886091651
2550	0.03877295767
2600	0.03869793198
2650	0.0385862962
2700	0.03853006672
2750	0.03851422938
2800	0.0384437098
2850	0.03837675715
2900	0.03828789976
2950	0.03826130733
3000	0.03823236847
3050	0.03823072226
3100	0.0382008778
3150	0.03798459066
3200	0.03784596801
3250	0.03777791294
3300	0.03769952782
3350	0.03764648928
3400	0.03754872407
3450	0.03750035679
3500	0.03746614654
3550	0.03742742421
3600	0.03737538344
3650	0.03729627769
3700	0.03723494825
3750	0.03721357967
3800	0.03718161418
3850	0.03715635189
3900	0.03713691354
3950	0.03709437488
4000	0.03707169649
4050	0.03697371342
4100	0.0368638183
4150	0.0368255365
4200	0.03679340417
4250	0.03676284615
4300	0.03664723079
4350	0.03659104084
4400	0.03654752124
4450	0.03646170004
4500	0.03644495569
4550	0.03640949485
4600	0.03638287528
4650	0.03635025088
4700	0.0363495598
4750	0.03632181598
4800	0.03620743184
4850	0.03615143034
4900	0.03611413987
4950	0.03609716003
4999	0.03599317155
