iter	Passed	Remaining
0	49	498036
1	95	478040
2	141	470535
3	187	469082
4	234	468689
5	283	472558
6	334	476841
7	381	475979
8	427	474751
9	475	475268
10	522	474509
11	569	474243
12	622	477933
13	680	485569
14	729	485597
15	775	483789
16	830	487663
17	879	487724
18	929	488276
19	983	490609
20	1038	493288
21	1087	493221
22	1137	493420
23	1184	492461
24	1230	490777
25	1280	491126
26	1331	491998
27	1381	492104
28	1431	492205
29	1483	493116
30	1534	493530
31	1585	493739
32	1636	494228
33	1681	492929
34	1726	491574
35	1771	490233
36	1821	490528
37	1873	491137
38	1918	489951
39	1962	488747
40	2007	487600
41	2056	487685
42	2104	487298
43	2151	486714
44	2194	485551
45	2238	484464
46	2284	483876
47	2329	483030
48	2375	482511
49	2422	482166
50	2470	481977
51	2516	481468
52	2561	480696
53	2606	479996
54	2654	479998
55	2707	480696
56	2758	481114
57	2807	481237
58	2853	480847
59	2902	480791
60	2950	480658
61	2996	480324
62	3044	480185
63	3091	479982
64	3138	479689
65	3187	479815
66	3241	480563
67	3294	481182
68	3349	482135
69	3400	482393
70	3447	482167
71	3495	481927
72	3540	481417
73	3589	481451
74	3637	481426
75	3683	480968
76	3728	480556
77	3776	480451
78	3823	480123
79	3866	479408
80	3908	478595
81	3955	478452
82	4002	478241
83	4050	478203
84	4095	477743
85	4139	477215
86	4187	477115
87	4234	476912
88	4281	476733
89	4324	476148
90	4369	475794
91	4415	475536
92	4459	475014
