iter	RMSE
0	0.7124237906
50	0.1771463769
100	0.07610769491
150	0.05602468686
200	0.05037912773
250	0.04819740249
300	0.04736168473
350	0.04696052484
400	0.04551089988
450	0.04447879128
500	0.04352779808
550	0.04310180892
600	0.04248492665
650	0.0421844017
700	0.04206404447
750	0.0416889991
800	0.04092845411
850	0.04040358521
900	0.03975555663
950	0.03930398838
1000	0.03876351566
1050	0.03823061584
1100	0.03796666057
1150	0.03764436752
1200	0.03751005735
1250	0.03735786707
1300	0.03721567396
1350	0.03701790935
1400	0.03689523539
1450	0.03686736884
1500	0.0367555657
1550	0.036668554
1600	0.03658938586
1650	0.03647616482
1700	0.03639049643
1750	0.03627017163
1800	0.03617155594
1850	0.03613234304
1900	0.03600076255
1950	0.03591061321
2000	0.03570640337
2050	0.03560505831
2100	0.03556105786
2150	0.03550628668
