iter	RMSE
0	0.4840805157
50	0.1231025176
100	0.05584700389
150	0.045968645
200	0.04478992688
250	0.04413601288
300	0.04321001572
350	0.04313350901
400	0.04305797503
450	0.04304560418
500	0.04304308263
550	0.04304185418
600	0.0430360373
650	0.04300868294
700	0.04300824748
750	0.04297626648
800	0.04247451653
850	0.04244908231
900	0.04243778814
950	0.0420812061
1000	0.04082288224
1050	0.04046646464
1100	0.04039383635
1150	0.04023338002
1200	0.03995643017
1250	0.03988244282
1300	0.03986710492
1350	0.03978058353
1400	0.03972162247
1450	0.03969073524
1500	0.03955622869
1550	0.03942960617
1600	0.03935225994
