;length;word_count;has_script;has_on_event;has_alert;has_prompt;has_confirm;has_console;has_javascript;has_vbscript;has_document;has_window;has_inner_html;has_outer_html;has_iframe;has_svg;has_dangerous_js;quote_count;equals_count;sum_count;has_url_encoding;has_html_entities;has_hex_encoding;has_unicode;tag_count;attribute_count;entropy;is_inside_quotes;has_nested_tags
7768;93;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;6;3;4.6891333435203695;1;0
7769;109;16;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;4;3;4.542173143887373;0;0
7770;134;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;4;2;4.231212484143;1;0
7771;143;14;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;4;2;0;0;0;0;0;4;2;4.201669131958734;1;0
7772;19;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;1;3.681880802803402;1;0
7773;39;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.09656816818019;0;0
7774;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.169925001442312;0;0
7775;41;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.05550132205091;0;0
7776;57;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;2;2;4.136906953409353;1;0
7777;44;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;3.950258255139388;0;0
7778;119;16;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;3;0;0;0;0;0;4;3;4.400054308310832;0;0
7779;56;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.202456654541048;1;0
7780;93;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;6;3;4.68913334352037;1;0
7781;115;15;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;4;2;4.3561273841160375;0;0
7782;57;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;4.042854490269881;0;0
7783;35;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;4.183014003266001;0;0
7784;60;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.069892104196988;0;0
7785;98;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;3;2;4.873460262978111;1;0
7786;59;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.10198796417605;1;0
7787;110;16;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;2;3;0;0;0;0;0;4;3;4.506367073669749;0;0
7788;48;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;1;3.985568752113511;0;0
7789;124;13;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;6;3;0;0;0;0;0;2;3;4.368772591030349;1;0
7790;33;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;4.06667707370723;0;0
7791;44;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;1;4.263313653112509;0;0
7792;98;12;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;4;2;0;0;0;0;0;4;2;4.321464428437533;1;0
7793;80;12;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;3;0;0;0;0;0;3;3;4.4675285336875845;1;0
7794;108;16;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;2;3;0;0;0;0;0;4;3;4.512226887310935;0;0
7795;56;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.155171888884746;0;0
7796;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.5898980954642865;0;0
7797;49;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;2;3;4.351968966953428;0;0
7798;39;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.057855988582063;0;0
