iter	RMSE
0	0.7123516809
50	0.1762983687
100	0.07678919857
150	0.05502328311
200	0.04999569881
250	0.04791228602
300	0.04700391587
350	0.04620739879
400	0.04545962797
450	0.04489388791
500	0.04406349611
550	0.04373552486
600	0.04313041798
650	0.04246981782
700	0.04204554376
750	0.0414803446
800	0.0411114193
850	0.04086730742
900	0.04036468127
950	0.0401402928
1000	0.03994231738
1050	0.03932923542
1100	0.03916424358
1150	0.03847615393
1200	0.03801324722
1250	0.03773849778
1300	0.03751571743
1350	0.03730883381
1400	0.0372341522
1450	0.03717400693
1500	0.03699682307
