iter	Passed	Remaining
0	46	462681
1	90	452572
2	137	459060
3	185	463449
4	232	464577
5	280	468002
6	333	476598
7	390	488336
8	443	491893
9	493	493317
10	540	490638
11	590	491507
12	640	492045
13	691	493248
14	744	495486
15	794	495624
16	841	493866
17	894	495910
18	944	496331
19	996	497416
20	1049	498750
21	1101	499805
22	1152	499946
23	1203	500236
24	1253	500234
25	1310	502860
26	1360	502493
27	1408	501649
28	1459	501691
29	1507	500983
30	1560	501906
31	1610	501530
32	1661	501717
33	1708	500787
34	1756	500169
35	1806	499894
36	1854	499251
37	1905	499462
38	1960	500834
39	2012	501228
40	2059	500200
41	2107	499676
42	2150	497945
43	2199	497596
44	2248	497443
45	2298	497369
46	2347	497157
47	2396	496969
48	2448	497240
49	2495	496671
50	2545	496646
51	2596	496818
52	2644	496375
53	2690	495491
54	2733	494225
55	2785	494601
56	2838	495100
57	2892	495742
58	2943	496036
59	2992	495796
60	3038	495047
61	3094	496095
62	3145	496061
63	3206	497877
64	3256	497731
65	3307	497884
66	3359	497991
67	3410	498084
68	3455	497279
69	3505	497257
70	3549	496413
71	3594	495611
72	3642	495357
73	3688	494802
74	3735	494380
75	3781	493840
76	3829	493568
77	3876	493126
78	3927	493264
79	3973	492729
80	4020	492380
81	4065	491744
82	4118	492100
83	4173	492706
84	4223	492657
85	4275	492859
86	4323	492580
87	4377	493046
88	4429	493225
89	4483	493674
90	4527	492971
91	4572	492444
92	4618	491943
93	4661	491273
94	4711	491234
95	4756	490686
96	4805	490601
97	4849	489956
98	4898	489928
99	4942	489342
100	4992	489301
101	5038	488923
102	5084	488510
103	5133	488430
104	5189	489050
105	5238	488965
106	5283	488501
107	5330	488214
108	5377	487968
109	5425	487793
110	5475	487794
111	5524	487772
112	5578	488066
113	5625	487822
114	5674	487729
115	5718	487293
116	5764	486908
117	5809	486528
118	5860	486581
119	5922	487633
120	5966	487170
121	6014	486955
122	6060	486646
123	6110	486705
124	6157	486417
125	6209	486631
126	6260	486662
127	6306	486407
128	6356	486367
129	6402	486092
130	6452	486128
131	6501	486037
132	6545	485616
133	6598	485849
134	6643	485454
135	6692	485398
136	6739	485175
137	6783	484778
138	6831	484624
139	6878	484438
140	6925	484209
141	6971	483983
142	7016	483662
143	7069	483835
144	7114	483560
145	7159	483209
146	7204	482914
147	7248	482534
148	7297	482447
149	7348	482562
150	7395	482394
151	7440	482036
152	7490	482114
153	7534	481704
154	7577	481319
155	7624	481152
156	7670	480922
157	7717	480725
158	7766	480718
159	7815	480639
160	7867	480789
161	7915	480675
162	7960	480407
163	8004	480100
164	8049	479805
165	8095	479577
166	8143	479467
167	8189	479255
168	8234	479036
169	8279	478742
170	8331	478868
171	8375	478556
172	8420	478288
173	8469	478261
174	8512	477941
175	8560	477842
176	8613	478016
177	8659	477838
178	8709	477835
179	8758	477838
180	8804	477635
181	8855	477731
182	8902	477589
183	8949	477444
184	8993	477136
185	9044	477234
186	9091	477062
187	9141	477133
188	9188	476992
189	9238	477011
190	9284	476821
191	9331	476663
192	9381	476701
193	9432	476799
194	9483	476840
195	9530	476726
196	9577	476567
197	9631	476797
198	9682	476853
