iter	RMSE
0	0.7123552844
50	0.176601601
100	0.07735265898
150	0.05576711411
200	0.04963630711
250	0.04706632785
300	0.045424984
350	0.04447679834
400	0.04370438614
450	0.04323049358
500	0.04277504815
550	0.04224440519
600	0.04185366433
650	0.04093447322
700	0.03975243717
750	0.03895693737
800	0.03824564903
850	0.03784769113
900	0.03765789166
950	0.03722705694
1000	0.03679353233
1050	0.0363187142
1100	0.03601064616
1150	0.03584888968
1200	0.03574572556
1250	0.03564096907
1300	0.0354953607
1350	0.03524289778
1400	0.03506329252
1450	0.03496275213
