iter	RMSE
0	0.7124364115
50	0.178941644
100	0.07764130225
150	0.05536755521
200	0.04945606856
250	0.04755217647
300	0.04654695865
350	0.04601332893
400	0.0456973821
450	0.04541832106
500	0.044421249
550	0.04368547594
600	0.0429862915
650	0.04220381444
700	0.04180452866
750	0.04159445282
800	0.0411787762
850	0.04084666218
900	0.04036599944
950	0.03980228225
1000	0.03957787625
1050	0.03935937461
1100	0.03892435103
1150	0.03870528769
1200	0.03825295349
1250	0.03798608508
1300	0.03792602679
1350	0.03789233674
1400	0.03781208655
1450	0.03750061029
1500	0.03726005637
1550	0.0372208733
1600	0.03709175377
1650	0.03703419713
