iter	Passed	Remaining
0	45	458666
1	95	479089
2	145	485642
3	194	485675
4	241	482523
5	288	481147
6	342	488633
7	392	490565
8	448	498010
9	502	502455
10	556	505509
11	604	503241
12	653	502346
13	702	500875
14	754	502230
15	810	505741
16	865	508220
17	914	507200
18	963	506203
19	1013	505590
20	1061	504383
21	1111	503911
22	1160	503620
23	1211	503536
24	1261	503325
25	1309	502158
26	1357	501369
27	1410	502173
28	1461	502550
29	1506	500793
30	1555	500214
31	1609	501294
32	1657	500672
33	1708	500817
34	1757	500468
35	1808	500570
36	1854	499339
37	1900	498284
38	1945	496865
39	1990	495529
40	2032	493712
41	2078	492785
42	2123	491620
43	2166	490168
44	2209	488727
45	2252	487506
46	2297	486522
47	2342	485617
48	2388	485043
49	2432	484128
50	2478	483559
51	2523	482705
52	2568	482060
53	2614	481489
54	2660	481111
55	2705	480446
56	2750	479831
57	2795	479119
58	2839	478468
59	2882	477550
60	2928	477190
61	2972	476531
62	3023	476824
63	3073	477156
64	3117	476516
65	3164	476286
66	3210	475901
67	3255	475476
68	3298	474783
69	3346	474766
70	3397	475085
71	3445	475156
72	3492	474998
73	3539	474732
74	3590	475088
75	3641	475544
76	3687	475184
77	3733	474956
78	3780	474712
79	3825	474400
80	3872	474171
81	3914	473456
82	3959	473093
83	4002	472534
84	4046	471991
85	4090	471605
